F1,Acc,Recall,loss
0.0,0.0,0.0,191.2859649658203
0.0,0.0,0.0,181.27317810058594
0.0,0.0,0.0,179.974853515625
0.0,0.0,0.0,175.205810546875
0.0,0.0,0.0,159.00885009765625
0.0,0.0,0.0,170.1091766357422
0.0,0.0,0.0,161.71994018554688
0.0,0.0,0.0,236.04139709472656
0.0,0.0,0.0,208.2606201171875
0.0,0.0,0.0,226.0892791748047
0.0,0.0,0.0,235.39718627929688
0.0,0.0,0.0,201.45611572265625
0.0,0.0,0.0,212.55271911621094
0.0,0.0,0.0,185.86224365234375
0.0,0.0,0.0,187.13711547851562
0.0,0.0,0.0,183.10548400878906
0.0,0.0,0.0,172.84083557128906
0.0,0.0,0.0,172.41436767578125
0.0,0.0,0.0,136.48106384277344
0.0,0.0,0.0,138.60403442382812
0.0,0.0,0.0,120.65199279785156
0.0,0.0,0.0,67.4424057006836
0.0,0.0,0.0,74.07058715820312
0.0,0.0,0.0,67.1043472290039
0.0,0.0,0.0,55.97013854980469
0.0,0.0,0.0,47.568641662597656
0.0,0.0,0.0,44.40340805053711
0.0,0.0,0.0,46.585304260253906
0.0,0.0,0.0,35.46063232421875
0.0,0.0,0.0,48.341896057128906
0.0,0.0,0.0,46.7946891784668
0.0,0.0,0.0,41.157562255859375
0.0,0.0,0.0,52.37786102294922
0.0,0.0,0.0,38.7048454284668
0.0,0.0,0.0,32.56230163574219
0.0,0.0,0.0,33.28486251831055
0.0,0.0,0.0,34.41546630859375
0.0,0.0,0.0,38.647911071777344
0.0,0.0,0.0,27.918813705444336
0.0,0.0,0.0,27.45928192138672
0.0,0.0,0.0,28.671934127807617
0.0,0.0,0.0,32.455108642578125
0.0,0.0,0.0,28.305416107177734
0.0,0.0,0.0,18.898845672607422
0.0,0,0.0,25.138418197631836
0.0,0,0.0,28.433090209960938
0.0,0,0.0,18.042932510375977
0.0,0,0.0,15.675348281860352
0.0,0,0.0,22.75075912475586
0.0,0,0.0,28.11870002746582
0.0,0,0.0,16.851985931396484
0.0,0,0.0,27.632436752319336
0.0,0,0.0,34.57484436035156
0.0,0,0.0,26.80810546875
0.0,0,0.0,42.409706115722656
0.0,0,0.0,30.139787673950195
0.0,0,0.0,23.073707580566406
0.0,0,0.0,27.711776733398438
0.0,0,0.0,28.32386016845703
0.0,0,0.0,33.832000732421875
0.0,0,0.0,23.005605697631836
0.0,0,0.0,22.230815887451172
0.0,0,0.0,24.800527572631836
0.0,0,0.0,28.654672622680664
0.0,0,0.0,24.343482971191406
0.0,0,0.0,15.757821083068848
0.0,0,0.0,21.8315486907959
0.0,0,0.0,24.61077880859375
0.0,0,0.0,15.281017303466797
0.0,0,0.0,13.74384880065918
0.0,0,0.0,19.503143310546875
0.0,0,0.0,24.696685791015625
0.0,0,0.0,14.559999465942383
0.0,0,0.0,24.762401580810547
0.0,0,0.0,31.628673553466797
0.0,0,0.0,24.67085075378418
0.0,0,0.0,37.021053314208984
0.0,0,0.0,26.74087142944336
0.0,0,0.0,21.205810546875
0.0,0,0.0,25.625314712524414
0.0,0,0.0,25.504497528076172
0.0,0,0.0,30.823287963867188
0.0,0,0.0,21.774513244628906
0.0,0,0.0,21.04214859008789
0.0,0,0.0,23.02257537841797
0.0,0,0.0,26.928237915039062
0.0,0,0.0,22.914772033691406
0.0,0,0.0,14.412541389465332
0.0,0,0.0,20.722614288330078
0.0,0,0.0,23.062984466552734
0.0,0,0.0,14.565730094909668
0.0,0,0.0,13.381552696228027
0.0,0,0.0,18.685272216796875
0.0,0,0.0,23.89669418334961
0.0,0,0.0,14.11723518371582
0.0,0,0.0,23.98162841796875
0.0,0,0.0,31.181930541992188
0.0,0,0.0,24.159059524536133
0.0,0,0.0,36.43453598022461
0.0,0,0.0,26.181018829345703
0.0,0,0.0,20.631893157958984
0.0,0,0.0,24.866716384887695
0.0,0,0.0,24.89209747314453
0.0,0,0.0,30.476146697998047
0.0,0,0.0,21.207759857177734
0.0,0,0.0,20.430492401123047
0.0,0,0.0,22.461742401123047
0.0,0,0.0,26.45045280456543
0.0,0,0.0,22.539661407470703
0.0,0,0.0,14.140525817871094
